mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11971859931945801,0.0018407488444321138,0.02372598648071289,0.0013961443316947162,0.1,2,0.001,rbf,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.6057906458797327,0.6057906458797327,0.609375,0.6116071428571429,0.609375,0.6083876869233217,0.002271726880447898,70
0.06983819007873535,0.002830785561713388,0.018122196197509766,0.000673651347179657,0.1,2,0.001,poly,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.3897550111358575,0.3897550111358575,0.390625,0.39285714285714285,0.390625,0.3907234330257715,0.001135585987879836,84
0.06125078201293945,0.0015811099311817895,0.015020656585693359,0.0008647025742259288,0.1,2,0.01,rbf,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9910913140311804,0.9933184855233853,0.9866071428571429,1.0,0.9888392857142857,0.991971245625199,0.004596368200093164,48
0.06854157447814942,0.0020681052773514957,0.01780705451965332,0.0018791529602304343,0.1,2,0.01,poly,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.6057906458797327,0.6057906458797327,0.609375,0.6116071428571429,0.609375,0.6083876869233217,0.002271726880447898,70
0.013305377960205079,0.00047590324976203626,0.0037774085998535157,0.0001654887796899433,0.1,2,0.1,rbf,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9910913140311804,0.9933184855233853,0.984375,0.9977678571428571,0.9910714285714286,0.9915248170537703,0.0043291145981998475,58
0.03249082565307617,0.0008739350872548587,0.012560892105102538,0.0020500676052358775,0.1,2,0.1,poly,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.9910913140311804,0.9955456570155902,0.984375,1.0,0.9910714285714286,0.9924166799236399,0.005206383638693367,30
0.008850574493408203,0.0007305016715709039,0.002718400955200195,0.00015790874132265287,0.1,2,1.0,rbf,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.9933184855233853,0.9933184855233853,0.984375,0.9977678571428571,0.9933035714285714,0.9924166799236399,0.004375312488193868,30
0.004535818099975586,0.0001552648419864714,0.0020490169525146486,8.753714679167311e-05,0.1,2,1.0,poly,"{'svc__C': 0.1, 'svc__degree': 2, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.9933184855233853,0.9933184855233853,0.984375,0.9977678571428571,0.9933035714285714,0.9924166799236399,0.004375312488193868,30
0.11726503372192383,0.0006045388881860476,0.023918581008911134,0.0014444250215136863,0.1,3,0.001,rbf,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.6057906458797327,0.6057906458797327,0.609375,0.6116071428571429,0.609375,0.6083876869233217,0.002271726880447898,70
0.07062063217163086,0.0014346861847198784,0.0176973819732666,0.0024030617432173004,0.1,3,0.001,poly,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.001, 'svc__kernel': 'poly'}",0.3897550111358575,0.3897550111358575,0.390625,0.39285714285714285,0.390625,0.3907234330257715,0.001135585987879836,84
0.06129088401794434,0.0005074657456772982,0.018072080612182618,0.003393444102867756,0.1,3,0.01,rbf,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.9910913140311804,0.9933184855233853,0.9866071428571429,1.0,0.9888392857142857,0.991971245625199,0.004596368200093164,48
0.07232213020324707,0.0038350636967307413,0.018963432312011717,0.0024404684077811833,0.1,3,0.01,poly,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.01, 'svc__kernel': 'poly'}",0.3897550111358575,0.3897550111358575,0.390625,0.39285714285714285,0.390625,0.3907234330257715,0.001135585987879836,84
0.012709093093872071,0.0003643863519057586,0.0034429073333740235,0.00031009107921958773,0.1,3,0.1,rbf,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.9910913140311804,0.9933184855233853,0.984375,0.9977678571428571,0.9910714285714286,0.9915248170537703,0.0043291145981998475,58
0.0372434139251709,0.0008288873282293331,0.015703392028808594,0.0019310415610826258,0.1,3,0.1,poly,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.6057906458797327,0.6057906458797327,0.609375,0.6116071428571429,0.609375,0.6083876869233217,0.002271726880447898,70
0.007921457290649414,0.00018323959216670537,0.0024761199951171876,0.00025592604129037874,0.1,3,1.0,rbf,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.9933184855233853,0.9933184855233853,0.984375,0.9977678571428571,0.9933035714285714,0.9924166799236399,0.004375312488193868,30
0.004188680648803711,0.0003925867420671686,0.0016651153564453125,0.00019928764268257388,0.1,3,1.0,poly,"{'svc__C': 0.1, 'svc__degree': 3, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.9933184855233853,0.9910913140311804,0.984375,0.9977678571428571,0.9933035714285714,0.991971245625199,0.004374198890877058,48
